sample_index,class_id,target_label,generation_seed,demonstration_seed,prompt_version,prompting_strategy,demonstration_source,demonstration_pool_size,demo_1,demo_2,demo_3,demo_4,generated_text
10,4,Profane,401010,405010,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod aaj sirf roneka mann kar raha hai,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,i hate ors bhenchod,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,bc kutte ko pata nahi tum logo ne kabhi apne jaise randi ke sath jana chahte ho...😒
11,4,Profane,401011,405011,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,i hate ors bhenchod,pubg lover hath toota howa hai phir b pubg nhai chorni bc😂😂😂,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,bhenchod kahan phass gaya hoon,mera jism meri marzi bhenchod
12,4,Profane,401012,405012,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,inn coaching vaalou ko kaise pta chal jaata hai mera result bhenchod.,neend aa rhi h bc main sone jaa rhi hu 😂,kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,nazar lag gayi bhenchod fuck this i knew it would never last,ye nhi kia koi kaam kar rha h?
13,4,Profane,401013,405013,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,dil sumbhal ja zra bhenchod,rt : asa kon ludo khelta hi bc ....😇,bhenchod exams uff,apke baare main tu itni bat kr rhi hu ki pta chl jai ga ke maine bhti kaha thi
14,4,Profane,401014,405014,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,dil sumbhal ja zra bhenchod,bhenchod kya hai ye sb,rt : asa kon ludo khelta hi bc ....😇,bhenchod exams uff,rt : tumhari maa ki chut maru tu
15,4,Profane,401015,405015,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,bhenchod exams uff,naak bandd ho gya bc.,bhenchod hawwwwwwwn kya
16,4,Profane,401016,405016,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,neend aa rhi h bc main sone jaa rhi hu 😂,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,abe bhenchod mc
17,4,Profane,401017,405017,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : kisi ko bhulnay k liye ussay yaad karna parta hai. aur idhr bhenchod yaad hi ati rehti hai bus,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,bhenchod bht kutti haaalat huwe we he bhai,bhenchod aaj sirf roneka mann kar raha hai,rt : tum ne bhi apni life se ek mahinon ki zindagi nahi kiya bhenchod
18,4,Profane,401018,405018,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,pubg lover hath toota howa hai phir b pubg nhai chorni bc😂😂😂,main 5'8 ke sath bh chota lgta hn bc😶😑😑😑,rt : birthday wali feel hi nai arahi bhenchod,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",bhenchod aa chuka kya tha kya
19,4,Profane,401019,405019,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,bhenchod aaj sirf roneka mann kar raha hai,rt : birthday wali feel hi nai arahi bhenchod,2 years ago i asked my father for my own car. so he said “hbl car loan se lelo” bc itni khajal khawari keh tang akar i bought used honda civic. and mine is way better than new honda city. or sashky apny,bhenchod jb ye 500 rs ki maa chod dega tab achha lagta hai
20,4,Profane,401020,405020,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,rt : birthday wali feel hi nai arahi bhenchod,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,😑😑😑😑rt : bhenchod bachpan mein jitne baar aisa karwa raha tha na
21,4,Profane,401021,405021,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,bhenchod kya hai ye sb,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,dil sumbhal ja zra bhenchod,chup kr di bhenchod
22,4,Profane,401022,405022,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,ajeeeeb bc 😒😂,bhenchod kahan phass gaya hoon,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,i hate ors bhenchod,abe bc mera jism meri marzi ki bat hi nahi kar sakta yar
23,4,Profane,401023,405023,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rona araha hai bhenchod why am i such a clown why am i so unimportant,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,"rt : koi physics samjha de bhenchod,,,,",bauhat sardi hai bc,ye jab mera kuch nahi mila to mera mood bhi dusre ki zindagi main aag laga jata hai
24,4,Profane,401024,405024,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,ajeeeeb bc 😒😂,nazar lag gayi bhenchod fuck this i knew it would never last,bhenchod mairi thand se phatt rahi hai,2 years ago i asked my father for my own car. so he said “hbl car loan se lelo” bc itni khajal khawari keh tang akar i bought used honda civic. and mine is way better than new honda city. or sashky apny,oye bhenchod mera nakliya ka pata hai woh kutty ki behn
25,4,Profane,401025,405025,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : asa kon ludo khelta hi bc ....😇,bhenchod kya hai ye sb,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",inn coaching vaalou ko kaise pta chal jaata hai mera result bhenchod.,aby tu gadhe ho bc
26,4,Profane,401026,405026,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",rona araha hai bhenchod why am i such a clown why am i so unimportant,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",neend aa rhi h bc main sone jaa rhi hu 😂,aby nhi tum logon ko pta hi nahi ki maine apne shukriya ke liye apke follow kar le
27,4,Profane,401027,405027,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,neend aa rhi h bc main sone jaa rhi hu 😂,rt : birthday wali feel hi nai arahi bhenchod,bhenchod kahan phass gaya hoon,i'm not talking about ahmadiya. but yeh mullah ki auqat hai ab bhool gaya hun ye
28,4,Profane,401028,405028,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,2 years ago i asked my father for my own car. so he said “hbl car loan se lelo” bc itni khajal khawari keh tang akar i bought used honda civic. and mine is way better than new honda city. or sashky apny,bhenchod what a goal!,inn coaching vaalou ko kaise pta chal jaata hai mera result bhenchod.,main 5'8 ke sath bh chota lgta hn bc😶😑😑😑,ye hi to bc 😂
29,4,Profane,401029,405029,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,bhenchod kahan phass gaya hoon,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,rona araha hai bhenchod why am i such a clown why am i so unimportant,rt :   bhenchod hum jese logon ne mera number chora tha maine apne maa ka naam liya hai
30,4,Profane,401030,405030,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bc bb khatm ho gya but i cant move on,bhenchod kahan phass gaya hoon,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,pubg lover hath toota howa hai phir b pubg nhai chorni bc😂😂😂,rt : ye larki ki shakal kisi randi ka bacha hoga
31,4,Profane,401031,405031,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod kya hai ye sb,2 years ago i asked my father for my own car. so he said “hbl car loan se lelo” bc itni khajal khawari keh tang akar i bought used honda civic. and mine is way better than new honda city. or sashky apny,inn coaching vaalou ko kaise pta chal jaata hai mera result bhenchod.,bhenchod exams uff,rt : rt if you've been waiting for this moment #lahoreqg
32,4,Profane,401032,405032,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,dil sumbhal ja zra bhenchod,bhenchod what a goal!,rt : asa kon ludo khelta hi bc ....😇,fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,dm ma pakistan ka mazaq rona dekhne wala krwa rha hai😂
33,4,Profane,401033,405033,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,ajeeeeb bc 😒😂,dil sumbhal ja zra bhenchod,bhenchod aaj sirf roneka mann kar raha hai,pubg lover hath toota howa hai phir b pubg nhai chorni bc😂😂😂,bhenchod mera jism meri marzi ka tere baare mein tweet kro
34,4,Profane,401034,405034,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,2 years ago i asked my father for my own car. so he said “hbl car loan se lelo” bc itni khajal khawari keh tang akar i bought used honda civic. and mine is way better than new honda city. or sashky apny,bauhat sardi hai bc,bhenchod mairi thand se phatt rahi hai,naak bandd ho gya bc.,rt : randi ki nasal
35,4,Profane,401035,405035,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod mairi thand se phatt rahi hai,i hate ors bhenchod,bhenchod what a goal!,ajeeeeb bc 😒😂,kuch bhi nae chale ab
36,4,Profane,401036,405036,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod bht kutti haaalat huwe we he bhai,"rt : koi physics samjha de bhenchod,,,,",bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,ye to chutiya tha na
37,4,Profane,401037,405037,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,main 5'8 ke sath bh chota lgta hn bc😶😑😑😑,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,mera bhi yaar bhai...jindgi jhand ho gya hai bhenchodv 3 t20 me 300 rupya haar gye....,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,bhenchod pakistan mein tu nahee mila skti kisi ka number leta hun koi
38,4,Profane,401038,405038,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bauhat sardi hai bc,rt : kisi ko bhulnay k liye ussay yaad karna parta hai. aur idhr bhenchod yaad hi ati rehti hai bus,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,jb tu socha ha na apny bachy sy baat krwao to koi ghr mein bat nhi krta
39,4,Profane,401039,405039,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,neend aa rhi h bc main sone jaa rhi hu 😂,kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,bc bb khatm ho gya but i cant move on,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,rt : wtf is wrong with me?
40,4,Profane,401040,405040,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod exams uff,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,"rt : koi physics samjha de bhenchod,,,,",bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,rt : mard ka dost dikhany waly hain aurat ko dikhay nahi sakty aurat march main bhi dikhani chahye to aise hi ladkiyan hain jo ghar mein maa baap ne ghussa
41,4,Profane,401041,405041,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod exams uff,naak bandd ho gya bc.,bhenchod aaj sirf roneka mann kar raha hai,mere pas tum ho ny to puray saal ka rula dia bhenchod,acha dekh lein kyun bc
42,4,Profane,401042,405042,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,rt : kisi ko bhulnay k liye ussay yaad karna parta hai. aur idhr bhenchod yaad hi ati rehti hai bus,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,bhenchod kya hai ye sb,teri ma ki choot mein tere baap ki jaga hoti hai
43,4,Profane,401043,405043,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bauhat sardi hai bc,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",rt : bhenchod yahan paisa nhi milega
44,4,Profane,401044,405044,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,2 years ago i asked my father for my own car. so he said “hbl car loan se lelo” bc itni khajal khawari keh tang akar i bought used honda civic. and mine is way better than new honda city. or sashky apny,bhenchod kahan phass gaya hoon,pubg lover hath toota howa hai phir b pubg nhai chorni bc😂😂😂,naak bandd ho gya bc.,bc ye sab jin ko dikh raha hai uske liye wo yahoodi agent sahi hi hain
45,4,Profane,401045,405045,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod what a goal!,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,bhenchod kya hai ye sb,bhenchod it's 8 pm
46,4,Profane,401046,405046,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod kya hai ye sb,rt : kisi ko bhulnay k liye ussay yaad karna parta hai. aur idhr bhenchod yaad hi ati rehti hai bus,ajeeeeb bc 😒😂,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,rt : abhi tak mjhy pta ni hoga kis ny un ka niklaya tha
47,4,Profane,401047,405047,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,inn coaching vaalou ko kaise pta chal jaata hai mera result bhenchod.,bhenchod kya hai ye sb,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,nazar lag gayi bhenchod fuck this i knew it would never last,rt : nhi naa randi rona krny ki zrurat nhi thi
48,4,Profane,401048,405048,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,bhenchod mairi thand se phatt rahi hai,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,neend aa rhi h bc main sone jaa rhi hu 😂,bc mairi shakl dekho ab
49,4,Profane,401049,405049,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,dil sumbhal ja zra bhenchod,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,bhenchod kahan phass gaya hoon,bhai ye charsi lakin yeh hi hota hai
50,4,Profane,401050,405050,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,mera bhi yaar bhai...jindgi jhand ho gya hai bhenchodv 3 t20 me 300 rupya haar gye....,bhenchod bht kutti haaalat huwe we he bhai,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",rt : asa kon ludo khelta hi bc ....😇,"rt : ye bs mohabbat kar le aur phir kehna ""agar wo tu ek din meri zindagi mein aay ga to mujhe pata nhi kaisa lagenge"""
51,4,Profane,401051,405051,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bauhat sardi hai bc,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,rt : birthday wali feel hi nai arahi bhenchod,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,rt : ye kya jhand ho rha hai ab
52,4,Profane,401052,405052,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,main 5'8 ke sath bh chota lgta hn bc😶😑😑😑,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,bhenchod kya hai ye sb,bhenchod what a goal!,apni maa ki chut mein jaake
53,4,Profane,401053,405053,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,"rt : koi physics samjha de bhenchod,,,,",rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,rt : bc apni beti ko school jana ke liye rahul ki shakal dikhani zarurat nahi hoti.
54,4,Profane,401054,405054,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,mera bhi yaar bhai...jindgi jhand ho gya hai bhenchodv 3 t20 me 300 rupya haar gye....,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,bhenchod apne pta hi kr rha tha
55,4,Profane,401055,405055,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : kisi ko bhulnay k liye ussay yaad karna parta hai. aur idhr bhenchod yaad hi ati rehti hai bus,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,mera bhi yaar bhai...jindgi jhand ho gya hai bhenchodv 3 t20 me 300 rupya haar gye....,bhenchod what a goal!,haha randi rona kar rahe hain
56,4,Profane,401056,405056,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,naak bandd ho gya bc.,dil sumbhal ja zra bhenchod,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,rt : bhaunk mat randi rona krne ke liye aa raha hu
57,4,Profane,401057,405057,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,pubg lover hath toota howa hai phir b pubg nhai chorni bc😂😂😂,bhenchod kya hai ye sb,aby bhenchod tumhein apni maa ka chut jab tak marna hoga tab tak aise hi pata chalega ki tumhari maa ko marne ke baad tu kuch kar sakta ho na
58,4,Profane,401058,405058,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,naak bandd ho gya bc.,i hate ors bhenchod,aaaaand the moment comes when you’re about to eat but then you realize “bhenchod mujhe kuch nhi mil raha”
59,4,Profane,401059,405059,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod aaj sirf roneka mann kar raha hai,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",bc bb khatm ho gya but i cant move on,bhenchod main nay mera profile dekha tha
60,4,Profane,401060,405060,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rona araha hai bhenchod why am i such a clown why am i so unimportant,bc bb khatm ho gya but i cant move on,i hate ors bhenchod,"rt : koi physics samjha de bhenchod,,,,",rt : bc maine 5000 followers kiya tha aur yahi hu hai
61,4,Profane,401061,405061,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod aaj sirf roneka mann kar raha hai,bhenchod mairi thand se phatt rahi hai,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",tumhara baap hu? tere jaise aise logon ko kuch bolta hai na... aurat march ka topic hai bharwe
62,4,Profane,401062,405062,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod exams uff,bhenchod kahan phass gaya hoon,ajeeeeb bc 😒😂,2 years ago i asked my father for my own car. so he said “hbl car loan se lelo” bc itni khajal khawari keh tang akar i bought used honda civic. and mine is way better than new honda city. or sashky apny,bhenchod sahi kaun bolta hai
63,4,Profane,401063,405063,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,inn coaching vaalou ko kaise pta chal jaata hai mera result bhenchod.,bhenchod mairi thand se phatt rahi hai,naak bandd ho gya bc.,rt : koi nahi teri maa chodna kisi ne bhi to nikl raha hota
64,4,Profane,401064,405064,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod aaj sirf roneka mann kar raha hai,nazar lag gayi bhenchod fuck this i knew it would never last,neend aa rhi h bc main sone jaa rhi hu 😂,bhenchod mairi thand se phatt rahi hai,rt : koi na bhoolo hum bharwe ho aur humein ek baar goli marne ki zaroorat nahi
65,4,Profane,401065,405065,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,naak bandd ho gya bc.,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,pubg lover hath toota howa hai phir b pubg nhai chorni bc😂😂😂,neend aa rhi h bc main sone jaa rhi hu 😂,yeh randi rona ka kuch nahi hota kia bc
